Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-FBS,,1,NCAA,11591,11425,23016,540444,297579,
2004,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-FBS,,1,NCAA,11652,11281,22933,483723,234243,
2008,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,12613,11683,24296,555206,325525,
2009,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,12835,11685,24520,501737,273920,
2010,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,13098,11651,24749,538497,287855,
2011,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,12973,11617,24590,666281,318671,
2012,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,12838,11526,24364,519451,258227,
2013,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,12891,11509,24400,524021,275954,
2014,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,13210,11698,24908,546457,292313,
2015,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,13500,11772,25272,753705,464803,
2016,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,13815,12359,26174,907284,446035,
2017,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,14594,12944,27538,931341,377264,
2018,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,14934,13408,28342,1009568,424302,
2019,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,14602,13626,28228,1130421,333719,
2020,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,14500,13638,28138,333514,88225,
